Complaint,Category,Urgency
"Auto-renewal charges foreign fee","Subscriptions",High
"Charged during declared disability","Subscriptions",Medium
"Free trial required biometric data","Subscriptions",High
"Subscription renewed after FTC complaint","Subscriptions",Immediate
"Cancelation page has fake error","Subscriptions",High
"Auto-renewal uses dynamic pricing","Subscriptions",Medium
"Charged during declared bankruptcy","Subscriptions",High
"Trial required background check","Subscriptions",Immediate
"Subscription renewed after class action","Subscriptions",High
"Account shows expired but still bills","Subscriptions",Medium
"Auto-renewal charges restoration fee","Subscriptions",High
"Charged during declared pandemic","Subscriptions",Immediate
"Free trial required DNA sample","Subscriptions",High
"Subscription renewed after GDPR request","Subscriptions",Medium
"Cancelation requires minimum age","Subscriptions",High
"Auto-renewal uses crypto wallet","Subscriptions",Immediate
"Charged during declared emergency","Subscriptions",High
"Trial required facial recognition","Subscriptions",Medium
"Subscription renewed after court order","Subscriptions",High
"Account cancellation requires blood test","Subscriptions",Immediate
"Cart empties automatically after adding items","Checkout",High
"Payment fails at final step with no error message","Checkout",Immediate
"Items disappear when proceeding to checkout","Checkout",High
"Checkout button becomes unclickable","Checkout",Medium
"Shipping options fail to load at checkout","Checkout",High
"Coupon applies but then disappears at payment","Checkout",Medium
"Browser crashes when clicking checkout","Checkout",Immediate
"Cart shows wrong currency conversion","Checkout",High
"Quantity changes reset when updating cart","Checkout",Medium
"Checkout page displays wrong tax amount","Checkout",High
"Login required error appears for guest checkout","Checkout",Immediate
"Mobile app freezes during address entry","Checkout",High
"Checkout loops back to cart repeatedly","Checkout",Medium
"Payment methods fail to load","Checkout",High
"Auto-filled address information gets cleared","Checkout",Immediate
"Checkout progress tracker shows wrong step","Checkout",Medium
"Page scrolls to top during credit card entry","Checkout",High
"Multiple identical items get added to cart","Checkout",Medium
"Checkout page shows expired security certificate","Checkout",Immediate
"Saved payment methods appear as invalid","Checkout",High
"Checkout calculates wrong shipping timeline","Checkout",Medium
"Browser back button breaks checkout flow","Checkout",High
"Gift options disappear at payment step","Checkout",Immediate
"Checkout displays 'invalid field' with no indication","Checkout",High
"Cart totals don't match checkout totals","Checkout",Medium
"Checkout page fails in incognito mode","Checkout",High
"Address validation rejects correct addresses","Checkout",Immediate
"Checkout autofills wrong credit card details","Checkout",High
"Page reloads during 3D Secure verification","Checkout",Medium
"Checkout shows out-of-stock items as available","Checkout",High
"Express checkout ignores selected options","Checkout",Immediate
"Checkout progress bar gets stuck at 99%","Checkout",High
"Captcha fails to load at payment step","Checkout",Medium
"Checkout applies wrong regional pricing","Checkout",High
"Browser warns of insecure form submission","Checkout",Immediate
"Checkout page elements overlap on mobile","Checkout",High
"Saved cart loads wrong item quantities","Checkout",Medium
"Checkout shows duplicate payment buttons","Checkout",High
"Tax calculation fails for international orders","Checkout",Immediate
"Checkout autoselects express shipping","Checkout",High
"Credit card fields reject valid numbers","Checkout",Medium
"Checkout page timeout too short","Checkout",High
"Browser autofill breaks form validation","Checkout",Immediate
"Checkout shows wrong item thumbnails","Checkout",High
"One-click purchase triggers accidentally","Checkout",Medium
"Checkout calculates discounts incorrectly","Checkout",High
"Page crashes when applying gift card","Checkout",Immediate
"Checkout suggests wrong saved addresses","Checkout",High
"CVV field disappears after card number entry","Checkout",Medium
"Checkout applies sales tax to exempt items","Checkout",High
"Mobile keyboard covers payment buttons","Checkout",Immediate
"Checkout shows 'processing' indefinitely","Checkout",High
"Cart displays wrong inventory status","Checkout",Medium
"Checkout fails when using VPN","Checkout",High
"Address fields rearrange during entry","Checkout",Immediate
"Checkout duplicates line items","Checkout",High
"Payment icons fail to display properly","Checkout",Medium
"Checkout shows wrong default country","Checkout",High
"Page jumps during credit card entry","Checkout",Immediate
"Checkout applies wrong membership discount","Checkout",High
"Saved cart shows unavailable items","Checkout",Medium
"Checkout fails after password manager autofill","Checkout",High
"Form labels mismatch with input fields","Checkout",Immediate
"Checkout displays cached pricing data","Checkout",High
"Quantity selector breaks at checkout","Checkout",Medium
"Checkout shows wrong loyalty points balance","Checkout",High
"Browser warns of mixed content errors","Checkout",Immediate
"Checkout autocompletes wrong CVV","Checkout",High
"Shipping calculator shows impossible dates","Checkout",Medium
"Checkout fails when cookies are blocked","Checkout",High
"Credit card type detection fails","Checkout",Immediate
"Checkout displays wrong currency symbol","Checkout",High
"Page elements shift during form entry","Checkout",Medium
"Checkout shows expired promotion codes","Checkout",High
"Password requirements hidden until error","Checkout",Immediate
"Checkout applies wrong bulk discount","Checkout",High
"Cart icon shows wrong item count","Checkout",Medium
"Checkout fails when adblocker is enabled","Checkout",High
"Form submits before completion","Checkout",Immediate
"Checkout displays wrong product options","Checkout",High
"Mobile number validation rejects valid numbers","Checkout",Medium
"Checkout shows wrong estimated delivery","Checkout",High
"Browser back button loses form data","Checkout",Immediate
"Checkout autofills old billing addresses","Checkout",High
"Payment method descriptions get cut off","Checkout",Medium
"Checkout fails after browser update","Checkout",High
"Security warnings appear during checkout","Checkout",Immediate
"Checkout shows wrong reward tiers","Checkout",High
"Dropdown menus fail on touch devices","Checkout",Medium
"Checkout calculates wrong bundle pricing","Checkout",High
"Page reload loses applied discounts","Checkout",Immediate
"Checkout displays conflicting error messages","Checkout",High
"Form validation triggers too early","Checkout",Medium
"Checkout shows wrong subscription terms","Checkout",High
"Credit card scanning feature fails","Checkout",Immediate
"Checkout suggests wrong shipping method","Checkout",High
"Loading spinner never completes","Checkout",Medium
"Checkout fails when resuming from sleep","Checkout",High
"Website shows 'in stock' but order canceled for unavailable item","Inventory",High
"Received different color than what was shipped","Inventory",Medium
"Backordered item never arrived after 2 months","Inventory",High
"Product page shows 10+ available but can't add to cart","Inventory",Medium
"Received refurbished item when new was ordered","Inventory",Immediate
"Warehouse location shows stock but website says sold out","Inventory",High
"Item marked 'low stock' for 6 weeks but never sells out","Inventory",Low
"Subscription auto-ship failed due to 'out of stock'","Inventory",High
"Received wrong size despite order confirmation showing correct","Inventory",Medium
"Flash sale item showed available but immediately sold out","Inventory",High
"Pre-order release date pushed back 3 times","Inventory",Medium
"Bundle shows available but components are out of stock","Inventory",High
"Website and app show different stock levels","Inventory",Immediate
"Received expired product despite 'fresh stock' promise","Inventory",High
"Item available for pickup but store has none","Inventory",Medium
"Limited edition restock notification came after sellout","Inventory",High
"Warehouse lost package but shows as fulfilled","Inventory",Medium
"Product discontinued after order placed","Inventory",High
"Received demo/floor model instead of new","Inventory",Immediate
"Multiple warehouses show same item with different availability","Inventory",High
"Website allows backorder but customer service says discontinued","Inventory",Medium
"Item shows 'only 1 left' for 48 hours","Inventory",Low
"Pre-owned item sent without disclosure","Inventory",High
"International version received instead of domestic","Inventory",Medium
"Component missing from multi-part product","Inventory",High
"Seasonal item removed before season ended","Inventory",Immediate
"Website shows stock but says unavailable for my region","Inventory",High
"Received older model despite listing showing current","Inventory",Medium
"Auto-restock notification never sent","Inventory",High
"Wrong variant shipped (matte instead of glossy)","Inventory",Medium
"Marketplace seller had fake stock count","Inventory",Immediate
"Item available for purchase but 'production delayed' email after","Inventory",High
"Received wrong language version of product","Inventory",Medium
"Website inventory doesn't sync with physical stores","Inventory",High
"Pre-order deposit taken but item never produced","Inventory",Immediate
"Warehouse damage discovered after shipping","Inventory",High
"Received opened/returned item as new","Inventory",Medium
"Subscription box missing key advertised item","Inventory",High
"Wrong edition shipped (standard instead of collector's)","Inventory",Medium
"Website allows purchase of clearly mistagged item","Inventory",Immediate
"Received test product instead of commercial version","Inventory",High
"Item shows in search but 'not carried' on product page","Inventory",Medium
"Black Friday doorbuster was never in stock","Inventory",High
"Received regional-locked version without warning","Inventory",Immediate
"Warehouse incorrectly marked item as out of stock","Inventory",High
"Product shows 'available in 3-5 days' for 3 weeks","Inventory",Medium
"Wrong packaging (bulk instead of retail)","Inventory",High
"Website allows backorder but manufacturer discontinued","Inventory",Medium
"Received wrong regional power specifications","Inventory",Immediate
"Item shows 'ships today' but actually backordered","Inventory",High
"Store pickup order canceled after arrival notification","Inventory",Medium
"Received incomplete set (3/4 pieces)","Inventory",High
"Website shows stock at nearby stores but all show zero","Inventory",Immediate
"Wrong firmware version pre-installed","Inventory",High
"Pre-order delivery date passed without update","Inventory",Medium
"Received product with different ingredients than listed","Inventory",High
"Marketplace seller dropshipped from unreliable source","Inventory",Medium
"Item shows 'low stock' but identical bundle available","Inventory",Immediate
"Received wrong regional voltage adapter","Inventory",High
"Website shows 'available to ship' but actually made-to-order","Inventory",Medium
"Product discontinued during shipping","Inventory",High
"Received wrong regional media format (PAL vs NTSC)","Inventory",Medium
"Warehouse system shows stock but can't locate item","Inventory",Immediate
"Item shows 'in stock' but requires special order","Inventory",High
"Subscription replacement for damaged item out of stock","Inventory",Medium
"Received wrong product generation (v1 instead of v2)","Inventory",High
"Website allows purchase of pre-production prototype","Inventory",Medium
"Item available in cart but disappears during checkout","Inventory",Immediate
"Received wrong regional safety certification","Inventory",High
"Store claims inventory system error after driving to location","Inventory",Medium
"Product shows 'limited stock' at all locations","Inventory",High
"Website lists wrong packaging quantity","Inventory",Medium
"Received wrong regional language documentation","Inventory",Immediate
"Warehouse shipped wrong SKU from same product line","Inventory",High
"Item shows 'available soon' for 6+ months","Inventory",Medium
"Subscription option disappeared despite 'ongoing availability'","Inventory",High
"Received display model with demo firmware","Inventory",Medium
"Website shows stock but requires vendor approval","Inventory",Immediate
"Item available for business accounts but not consumers","Inventory",High
"Store inventory doesn't match online reservation system","Inventory",Medium
"Received wrong regional power cable","Inventory",High
"Website allows purchase of recalled item","Inventory",Medium
"Item shows 'available at all stores' but none have it","Inventory",Immediate
"Received wrong product variant (scent/flavor)","Inventory",High
"Warehouse shipped from wrong fulfillment zone","Inventory",Medium
"Product shows 'back in stock' but old version","Inventory",High
"Website inventory doesn't account for in-cart items","Inventory",Medium
"Received wrong regional warranty card","Inventory",Immediate
"Item shows 'exclusive availability' but widely available","Inventory",High
"Store inventory system shows ghost stock","Inventory",Medium
"Received wrong product line (professional vs consumer)","Inventory",High
"Website allows purchase of test-listing product","Inventory",Medium
"Item shows 'new stock arriving tomorrow' indefinitely","Inventory",Immediate
"Received wrong regional version despite geo-block","Inventory",High
"Warehouse system and physical stock don't match","Inventory",Medium
"Product shows 'limited edition' but constantly restocked","Inventory",High
"Website inventory updates lag by 24+ hours","Inventory",Medium
"Received wrong product configuration (memory/storage)","Inventory",Immediate
"Item shows 'only available in combo' but sold separately","Inventory",High
"Store inventory shows negative quantities","Inventory",Medium
"Received wrong regional safety labels","Inventory",High
"Website shows phantom inventory from 3rd party sellers","Inventory",Medium
"Item shows 'available' but actually special order","Inventory",Immediate
"Received counterfeit product instead of genuine","Product Quality",Immediate
"Item arrived with critical safety defect","Product Quality",High
"Product material completely different from description","Product Quality",Immediate
"Electronics arrived water damaged","Product Quality",High
"Clothing sizing wildly inaccurate to measurements","Product Quality",Medium
"Food product contained undeclared allergen","Product Quality",Immediate
"Luxury item received with obvious used/worn marks","Product Quality",High
"Product missing essential components","Product Quality",Medium
"Appliance arrived with factory defect preventing use","Product Quality",High
"Cosmetics caused allergic reaction contrary to claims","Product Quality",Immediate
"Furniture arrived with structural integrity issues","Product Quality",High
"Product photos show features that don't exist","Product Quality",Medium
"Device battery life 90% less than advertised","Product Quality",High
"Received expired medication","Product Quality",Immediate
"Jewelry stones fell out within days","Product Quality",High
"Product dimensions incorrect by more than 25%","Product Quality",Medium
"Fabric content label deliberately misleading","Product Quality",High
"Electronics lack safety certifications claimed","Product Quality",Immediate
"Toy arrived with choking hazards not disclosed","Product Quality",High
"Designer item received with poor craftsmanship","Product Quality",Medium
"Product performance significantly below specs","Product Quality",High
"Food packaging contained foreign object","Product Quality",Immediate
"Received obvious factory second/defective item","Product Quality",High
"Product instructions completely inaccurate","Product Quality",Medium
"Device arrived with dangerous electrical fault","Product Quality",High
"Clothing seams unraveled after first wash","Product Quality",Immediate
"Product weight substantially less than advertised","Product Quality",High
"Cosmetics arrived contaminated/moldy","Product Quality",Medium
"Furniture finish completely different from sample","Product Quality",High
"Equipment lacks basic safety features advertised","Product Quality",Immediate
"Received product from different brand entirely","Product Quality",High
"Item arrived with chemical smell/off-gassing","Product Quality",Medium
"Product lifespan 10% of what was guaranteed","Product Quality",High
"Food product spoiled before expiration date","Product Quality",Immediate
"Electronics arrived with tampered serial numbers","Product Quality",High
"Clothing colors drastically different from photos","Product Quality",Medium
"Product packaging falsely claims awards","Product Quality",High
"Device arrived with critical firmware bugs","Product Quality",Immediate
"Jewelry plating wore off immediately","Product Quality",High
"Product arrived with undisclosed refurbished parts","Product Quality",Medium
"Appliance missing required certification marks","Product Quality",High
"Cosmetics texture completely different from sample","Product Quality",Immediate
"Furniture arrived with untreated sharp edges","Product Quality",High
"Product specifications deliberately overstated","Product Quality",Medium
"Toy broke during normal use as intended","Product Quality",High
"Food product nutritional info inaccurate","Product Quality",Immediate
"Received product with undisclosed damage","Product Quality",High
"Device arrived with incompatible regional specs","Product Quality",Medium
"Clothing fabric tore under normal tension","Product Quality",High
"Product arrived with unauthorized modifications","Product Quality",Immediate
"Electronics lack ports shown in marketing","Product Quality",High
"Luxury item materials much cheaper than described","Product Quality",Medium
"Product arrived with mismatched components","Product Quality",High
"Appliance failed first use contrary to warranty","Product Quality",Immediate
"Cosmetics caused reaction despite 'hypoallergenic'","Product Quality",High
"Furniture joints failed during assembly","Product Quality",Medium
"Product arrived with undisclosed used parts","Product Quality",High
"Device performance claims completely false","Product Quality",Immediate
"Jewelry arrived with undisclosed synthetic stones","Product Quality",High
"Food product taste/texture nothing like sample","Product Quality",Medium
"Product arrived with safety recall notice","Product Quality",High
"Electronics ports don't match specifications","Product Quality",Immediate
"Clothing dye bled excessively during first wash","Product Quality",High
"Product arrived with wrong firmware region lock","Product Quality",Medium
"Toy paint contained lead above legal limits","Product Quality",High
"Appliance arrived with factory recall defect","Product Quality",Immediate
"Cosmetics shade completely mismatched to photo","Product Quality",High
"Furniture arrived with untreated splinters","Product Quality",Medium
"Product key features don't actually exist","Product Quality",High
"Device arrived with critical design flaw","Product Quality",Immediate
"Jewelry clasp broke immediately","Product Quality",High
"Food product contained insect contamination","Product Quality",Medium
"Product arrived with undisclosed size limitations","Product Quality",High
"Electronics thermal performance dangerously poor","Product Quality",Immediate
"Clothing arrived with undisclosed 'irregular' tag","Product Quality",High
"Product materials degrade abnormally fast","Product Quality",Medium
"Toy included small parts despite 'choking hazard'","Product Quality",High
"Appliance arrived with incompatible power specs","Product Quality",Immediate
"Cosmetics leaked due to faulty packaging","Product Quality",High
"Furniture arrived with mismatched finishes","Product Quality",Medium
"Product arrived with undisclosed subscription","Product Quality",High
"Device lacks basic functions advertised","Product Quality",Immediate
"Jewelry arrived with fake hallmark stamps","Product Quality",High
"Food product cooking instructions dangerous","Product Quality",Medium
"Product arrived with undisclosed DRM","Product Quality",High
"Electronics arrived with wrong regional voltage","Product Quality",Immediate
"Clothing sizing chart completely inaccurate","Product Quality",High
"Product arrived with unauthorized third-party parts","Product Quality",Medium
"Toy safety warnings in wrong language","Product Quality",High
"Appliance arrived with cut power cord","Product Quality",Immediate
"Cosmetics arrived with broken safety seal","Product Quality",High
"Furniture arrived with structural cracks","Product Quality",Medium
"Product arrived with undisclosed required accessories","Product Quality",High
"Device arrived with critical manufacturing defect","Product Quality",Immediate
"Jewelry arrived with wrong gemstone cut","Product Quality",High
"Food product arrived with compromised packaging","Product Quality",Medium
"Product arrived with undisclosed performance limits","Product Quality",High
"Electronics arrived with wrong regional plugs","Product Quality",Immediate
"Clothing arrived with undisclosed 'final sale'","Product Quality",High
"Product materials react dangerously to water","Product Quality",Medium
"Toy arrived with sharp protrusions","Product Quality",High
"Appliance arrived with factory testing residue","Product Quality",Immediate
"Cosmetics arrived with separated ingredients","Product Quality",High
"Furniture arrived with incorrect assembly hardware","Product Quality",Medium
"Product arrived with undisclosed account requirement","Product Quality",High
"Return label never provided despite policy","Returns",High
"Refund processed but not received after 30 days","Returns",Immediate
"Return tracking shows delivered but refund not issued","Returns",High
"Prepaid return label is invalid at carrier","Returns",Medium
"Return initiated but no RMA number provided","Returns",High
"Refund issued to wrong payment method","Returns",Immediate
"Return shipping costs deducted without warning","Returns",High
"Return package refused at warehouse","Returns",Medium
"Partial refund issued without explanation","Returns",High
"Return label charges unexpected customs fees","Returns",Immediate
"Return status shows 'processing' indefinitely","Returns",High
"Refund amount differs from return receipt","Returns",Medium
"Return instructions contradict policy","Returns",High
"Return label generates error when printing","Returns",Immediate
"Refund delayed for 'additional inspection'","Returns",High
"Return requires original packaging that wasn't kept","Returns",Medium
"Return tracking never updates after drop-off","Returns",High
"Refund processed as store credit without consent","Returns",Immediate
"Return portal crashes during submission","Returns",High
"Return rejected for missing barcode that was included","Returns",Medium
"Refund missing return shipping reimbursement","Returns",High
"Return label has wrong warehouse address","Returns",Immediate
"Return status never updates from 'initiated'","Returns",High
"Refund held for undisclosed restocking fee","Returns",Medium
"Return requires receipt despite online account","Returns",High
"Return label expired before use","Returns",Immediate
"Refund delayed due to 'high return volume'","Returns",High
"Return items lost by carrier but no resolution","Returns",Medium
"Refund issued in wrong currency","Returns",High
"Return requires in-store visit despite online purchase","Returns",Immediate
"Return label missing from packaging as promised","Returns",High
"Refund processed before return was received","Returns",Medium
"Return rejected for minor box damage","Returns",High
"Return shipping costs higher than estimated","Returns",Immediate
"Refund status shows complete but money missing","Returns",High
"Return portal asks for unreasonable documentation","Returns",Medium
"Return label prints with unreadable barcode","Returns",High
"Refund delayed for 'manual processing'","Returns",Immediate
"Return requires original payment method no longer available","Returns",High
"Return tracking shows delivered but marked 'not received'","Returns",Medium
"Refund amount excludes taxes paid","Returns",High
"Return label has incorrect weight limit","Returns",Immediate
"Return rejected for being 'too late' despite on time","Returns",High
"Refund processed to closed bank account","Returns",Medium
"Return requires product photos but no option to upload","Returns",High
"Return label missing return authorization number","Returns",Immediate
"Refund delayed due to 'account verification'","Returns",High
"Return items damaged in transit due to poor packaging","Returns",Medium
"Refund processed as multiple partial payments","Returns",High
"Return requires unreasonably precise repackaging","Returns",Immediate
"Return label shipping method slower than promised","Returns",High
"Refund missing loyalty points earned","Returns",Medium
"Return rejected for missing tags that were never removed","Returns",High
"Return portal forces unnecessary exchange first","Returns",Immediate
"Refund delayed due to 'fraud review'","Returns",High
"Return requires original shipping box that was recycled","Returns",Medium
"Return tracking shows exception but no follow-up","Returns",High
"Refund issued as different payment type","Returns",Immediate
"Return label has incorrect return address","Returns",High
"Refund processed before return was inspected","Returns",Medium
"Return rejected for 'unauthorized return method'","Returns",High
"Return requires notarized affidavit","Returns",Immediate
"Refund delayed due to 'system migration'","Returns",High
"Return items lost by warehouse with no compensation","Returns",Medium
"Refund missing gift wrapping fees","Returns",High
"Return label has incorrect weight causing fees","Returns",Immediate
"Return rejected for 'excessive wear' on defective item","Returns",High
"Refund processed to wrong customer account","Returns",Medium
"Return requires video evidence of packaging","Returns",High
"Return label charges return shipping despite free returns","Returns",Immediate
"Refund delayed due to 'third-party seller'","Returns",High
"Return rejected for missing accessories that were included","Returns",Medium
"Refund issued before return was approved","Returns",High
"Return requires original payment card present","Returns",Immediate
"Return label has incorrect item count","Returns",High
"Refund processed with undisclosed currency conversion","Returns",Medium
"Return rejected for 'resale condition' requirements","Returns",High
"Return portal doesn't accept international returns","Returns",Immediate
"Refund delayed due to 'bank processing'","Returns",High
"Return items damaged by warehouse during inspection","Returns",Medium
"Refund missing promotional discount amount","Returns",High
"Return label invalid for international addresses","Returns",Immediate
"Return rejected for 'missing parts' that weren't included","Returns",High
"Refund processed after chargeback initiated","Returns",Medium
"Return requires original gift receipt unavailable","Returns",High
"Return label has incorrect declared value","Returns",Immediate
"Refund delayed due to 'account discrepancy'","Returns",High
"Return rejected for 'unauthorized return reason'","Returns",Medium
"Refund issued to wrong currency wallet","Returns",High
"Return requires in-person notary verification","Returns",Immediate
"Return label has incorrect customs declaration","Returns",High
"Refund processed with unauthorized deductions","Returns",Medium
"Return rejected for 'incomplete form' that was completed","Returns",High
"Return portal crashes when uploading receipt","Returns",Immediate
"Refund delayed due to 'payment processor error'","Returns",High
"Return items lost after warehouse receipt","Returns",Medium
"Refund missing original shipping fees","Returns",High
"Return label has incorrect item description","Returns",Immediate
"Return rejected for 'policy changed after purchase'","Returns",High
"Refund processed to expired gift card","Returns",Medium
"Return requires original packaging destroyed during unboxing","Returns",High
"Can't login - 'invalid credentials' with correct info","Account",High
"Account locked after one failed attempt","Account",Medium
"Two-factor authentication codes not arriving","Account",High
"Password reset link expires immediately","Account",Immediate
"Account shows someone else's information","Account",High
"Session logs out randomly during use","Account",Medium
"Email change option doesn't work","Account",High
"Username recovery feature broken","Account",Immediate
"Account created but no verification email","Account",High
"Browser autofill breaks login form","Account",Medium
"CAPTCHA never loads on login page","Account",High
"Account shows purchases I didn't make","Account",Immediate
"Password requirements too restrictive","Account",Low
"Login works on app but not website","Account",High
"Account merged with stranger's by system error","Account",Immediate
"Security questions reset themselves","Account",High
"Biometric login fails consistently","Account",Medium
"Account suspended without explanation","Account",High
"Remember me function doesn't work","Account",Immediate
"Password shows 'too common' when unique","Account",Medium
"Account shows wrong membership tier","Account",High
"Login page vulnerable to brute force attacks","Account",Immediate
"Email updates don't confirm old address","Account",High
"Account activity shows unknown devices","Account",Medium
"Password history prevents reusing old passwords","Account",High
"Social media login integration broken","Account",Immediate
"Account deletion option doesn't work","Account",High
"Login attempts from foreign countries ignored","Account",Medium
"Account shows wrong default currency","Account",High
"Security alert emails never arrive","Account",Immediate
"Password manager incompatible with login","Account",High
"Account recovery asks impossible questions","Account",Medium
"Login session expires too quickly","Account",High
"Account shows incorrect birth date","Account",Immediate
"Two-step verification can't be disabled","Account",High
"Password reset asks for old password","Account",Medium
"Account locked due to 'suspicious activity'","Account",High
"Login page doesn't support special characters","Account",Immediate
"Account shows wrong preferred language","Account",High
"Security image feature displays wrong image","Account",Medium
"Password change forces unnecessary complexity","Account",High
"Account access given to ex-spouse","Account",Immediate
"Login fails when using VPN","Account",High
"Account shows outdated payment methods","Account",Medium
"Password expiration too frequent","Account",High
"Account creation allows obvious fake emails","Account",Immediate
"Login page missing HTTPS encryption","Account",High
"Account shows wrong loyalty points","Account",Medium
"Security certificate warnings during login","Account",High
"Password reset sends plaintext temp password","Account",Immediate
"Account displays wrong purchase history","Account",High
"Login attempts don't show IP/location","Account",Medium
"Account settings revert after saving","Account",High
"Password complexity rules hidden until error","Account",Immediate
"Account shows incorrect tax information","Account",High
"Login page vulnerable to phishing","Account",Medium
"Account recovery options outdated","Account",High
"Password sharing allowed between accounts","Account",Immediate
"Account shows wrong subscription status","Account",High
"Login timeout too short for complex tasks","Account",Medium
"Account security audit logs missing","Account",High
"Password hints visible to all users","Account",Immediate
"Account displays wrong shipping addresses","Account",High
"Login page stores credentials in cache","Account",Medium
"Account permissions changed without notice","Account",High
"Password reset doesn't verify identity","Account",Immediate
"Account shows wrong credit balance","Account",High
"Login attempts from same IP unlimited","Account",Medium
"Account security questions too predictable","Account",High
"Password emailed in confirmation message","Account",Immediate
"Account shows incorrect privacy settings","Account",High
"Login page doesn't time out properly","Account",Medium
"Account verification too intrusive","Account",High
"Password rules differ across platforms","Account",Immediate
"Account shows wrong account age","Account",High
"Login page missing brute force protection","Account",Medium
"Account takeover with minimal verification","Account",High
"Password recovery exposes username","Account",Immediate
"Account displays wrong contact preferences","Account",High
"Login session persists after logout","Account",Medium
"Account security notifications missing","Account",High
"Password change doesn't log out devices","Account",Immediate
"Account shows wrong reward tiers","Account",High
"Login page autocomplete not disabled","Account",Medium
"Account activity logs incomplete","Account",High
"Password reset questions hackable","Account",Immediate
"Account shows incorrect VIP status","Account",High
"Login attempts not throttled","Account",Medium
"Account security audit missing","Account",High
"Password reuse across services allowed","Account",Immediate
"Account displays wrong membership date","Account",High
"Login page vulnerable to XSS attacks","Account",Medium
"Account permissions too broad","Account",High
"Password complexity not enforced","Account",Immediate
"Account shows wrong purchase limits","Account",High
"Login session sharing allowed","Account",Medium
"Account security features outdated","Account",High
"Password reset via unverified email","Account",Immediate
"Account displays wrong business type","Account",High
"Login page missing security headers","Account",Medium
"Account recovery too easy","Account",High
"Password expiration notices missing","Account",Immediate
"Account shows wrong credit tier","Account",High
"Login attempts from Tor allowed","Account",Medium
"Account security questions visible","Account",High
"Password history not maintained","Account",Immediate
"Coupon code says 'expired' but is still valid","Promotions",Medium
"Flash sale price disappeared at checkout","Promotions",Immediate
"Discount applied to wrong items in cart","Promotions",High
"Promo email showed wrong discount amount","Promotions",Medium
"BOGO offer only applied to cheaper item","Promotions",High
"Limited-time sale ended 3 hours early","Promotions",Immediate
"Coupon stackable despite 'one per order' rule","Promotions",Medium
"Price changed in cart during checkout","Promotions",High
"Exclusive promo code not working for target users","Promotions",Immediate
"Member discount didn't apply automatically","Promotions",High
"Coupon required minimum spend not disclosed","Promotions",Medium
"Early access sale opened to everyone","Promotions",High
"Bundle discount calculated incorrectly","Promotions",Immediate
"Promo showed '50% off' but only 30% applied","Promotions",High
"Coupon valid only on full-price items (hidden rule)","Promotions",Medium
"Price mistake honored then canceled","Promotions",High
"Birthday coupon never arrived","Promotions",Immediate
"Student discount required unreasonable verification","Promotions",High
"Coupon worked but then order was canceled","Promotions",Medium
"Price increased right before sale started","Promotions",High
"Promo excluded items shown in ad","Promotions",Immediate
"First-time buyer discount didn't apply","Promotions",High
"Coupon limited to wrong product category","Promotions",Medium
"Secret sale price visible in cart briefly","Promotions",High
"Reward points discount capped unexpectedly","Promotions",Immediate
"Promo email had broken redemption link","Promotions",High
"Coupon required account creation at checkout","Promotions",Medium
"Black Friday deal not honored in-store","Promotions",High
"Price glitch showed $1 items","Promotions",Immediate
"Military discount required annual reverification","Promotions",High
"Coupon only worked on mobile app (not web)","Promotions",Medium
"Limited stock sale showed available when sold out","Promotions",High
"Promo excluded sizes not mentioned","Promotions",Immediate
"Referral discount didn't apply for both parties","Promotions",High
"Coupon required social media post proof","Promotions",Medium
"Price match denied for identical item","Promotions",High
"Promo countdown timer reset repeatedly","Promotions",Immediate
"New customer offer available to existing users","Promotions",High
"Coupon terms changed after distribution","Promotions",Medium
"Sale price showed before login only","Promotions",High
"Bulk discount tiers calculated wrong","Promotions",Immediate
"Promo banner showed expired discount","Promotions",High
"Coupon didn't stack with clearance items","Promotions",Medium
"Price error blamed on 'system glitch'","Promotions",High
"Limited edition restock excluded from sale","Promotions",Immediate
"Promo required newsletter signup after purchase","Promotions",High
"Coupon valid only at certain hours (undisclosed)","Promotions",Medium
"Sale extended but prices increased","Promotions",High
"Price showed discount before adding to cart","Promotions",Immediate
"Promo items removed from cart automatically","Promotions",High
"Coupon required minimum quantity not shown","Promotions",Medium
"Early bird special sold out instantly","Promotions",High
"Discount showed in cart but not checkout","Promotions",Immediate
"Promo excluded payment methods not listed","Promotions",High
"Coupon code case-sensitive without indication","Promotions",Medium
"Price increased during coupon application","Promotions",High
"Member-only sale leaked to public","Promotions",Immediate
"Promo required survey completion post-purchase","Promotions",High
"Coupon didn't work with gift cards","Promotions",Medium
"Sale countdown showed wrong timezone","Promotions",High
"Price mistake on multi-pack items","Promotions",Immediate
"Promo items changed after campaign started","Promotions",High
"Coupon required app download to activate","Promotions",Medium
"Limited-quantity deal showed no limit","Promotions",High
"Discount disappeared when changing quantity","Promotions",Immediate
"Promo credit expired before notification","Promotions",High
"Coupon only for first-time use (undisclosed)","Promotions",Medium
"Price showed after rebate (not instant)","Promotions",High
"Secret sale page found via Google search","Promotions",Immediate
"Promo required in-store pickup for online order","Promotions",High
"Coupon valid only for future purchases","Promotions",Medium
"Sale price showed to some users but not others","Promotions",High
"Price glitch during currency conversion","Promotions",Immediate
"Promo items had hidden higher shipping","Promotions",High
"Coupon required minimum spend after tax","Promotions",Medium
